date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2010-08-15,,,National Average,226,,,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,4.7,0.82
2010-08-15,,,National Average,226,,,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,1.81,0.32
2010-08-15,,,National Average,226,,,cereals and tubers,Rice,52,KG,actual,Retail,EGP,3.98,0.7
2010-08-15,,,National Average,226,,,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,3.44,0.6
2010-08-15,,,National Average,226,,,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,50.22,8.81
2010-08-15,,,National Average,226,,,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,17,2.98
2010-08-15,,,National Average,226,,,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,4.28,0.75
2010-08-15,,,National Average,226,,,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,9.82,1.72
2010-08-15,,,National Average,226,,,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,33.42,5.86
2010-08-15,,,National Average,226,,,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,8.76,1.54
2010-08-15,,,National Average,226,,,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,5.76,1.01
2010-08-15,,,National Average,226,,,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,8.89,1.56
2010-08-15,,,National Average,226,,,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,11.26,1.97
2010-08-15,,,National Average,226,,,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,1.7,0.3
2010-08-15,,,National Average,226,,,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,1.86,0.33
2010-08-15,,,National Average,226,,,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,2.2,0.39
2010-09-15,,,National Average,226,,,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,5.05,0.88
2010-09-15,,,National Average,226,,,cereals and tubers,Potatoes,83,KG,actual,Retail,EGP,1.99,0.35
2010-09-15,,,National Average,226,,,cereals and tubers,Rice,52,KG,actual,Retail,EGP,3.92,0.69
2010-09-15,,,National Average,226,,,cereals and tubers,Wheat flour,58,KG,actual,Retail,EGP,4.07,0.71
2010-09-15,,,National Average,226,,,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,EGP,53.26,9.33
2010-09-15,,,National Average,226,,,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,actual,Retail,EGP,16.83,2.95
2010-09-15,,,National Average,226,,,miscellaneous food,Sugar,97,KG,actual,Retail,EGP,4.38,0.77
2010-09-15,,,National Average,226,,,oil and fats,Ghee (artificial),106,KG,actual,Retail,EGP,9.86,1.73
2010-09-15,,,National Average,226,,,oil and fats,Ghee (natural),107,KG,actual,Retail,EGP,34.11,5.97
2010-09-15,,,National Average,226,,,oil and fats,Oil (maize),362,800 G,actual,Retail,EGP,8.8,1.54
2010-09-15,,,National Average,226,,,pulses and nuts,"Beans (fava, dry)",385,KG,actual,Retail,EGP,5.95,1.04
2010-09-15,,,National Average,226,,,pulses and nuts,Lentils,108,KG,actual,Retail,EGP,8.91,1.56
2010-09-15,,,National Average,226,,,vegetables and fruits,Garlic,105,KG,actual,Retail,EGP,11.91,2.09
2010-09-15,,,National Average,226,,,vegetables and fruits,Onions (red),110,KG,actual,Retail,EGP,1.96,0.34
2010-09-15,,,National Average,226,,,vegetables and fruits,Onions (white),111,KG,actual,Retail,EGP,1.96,0.34
2010-09-15,,,National Average,226,,,vegetables and fruits,Tomatoes,114,KG,actual,Retail,EGP,3.56,0.62
2010-10-15,,,National Average,226,,,cereals and tubers,Pasta,112,KG,actual,Retail,EGP,5.03,0.88
